SA12018_code	DHB2015_name
7000000	Northland
7000001	Northland
7000002	Northland
7000003	Northland
7000004	Northland
7000005	Northland
7000006	Northland
7000010	Northland
7000019	Northland
7000023	Northland
7000014	Northland
7000022	Northland
7000020	Northland
7000021	Northland
7000079	Northland
7000033	Northland
7000039	Northland
7000034	Northland
7000032	Northland
7000030	Northland
7000036	Northland
7000044	Northland
7000122	Northland
7000049	Northland
7000045	Northland
7000126	Northland
7000046	Northland
7000051	Northland
7000052	Northland
7000055	Northland
7000054	Northland
7000056	Northland
7000057	Northland
7000061	Northland
7000042	Northland
7000060	Northland
7000016	Northland
7000120	Northland
7000124	Northland
7000123	Northland
7000125	Northland
7000153	Northland
7000154	Northland
7000127	Northland
7000155	Northland
7000025	Northland
7000026	Northland
7000027	Northland
7000024	Northland
7000029	Northland
7000028	Northland
7000031	Northland
7000117	Northland
7000080	Northland
7000084	Northland
7000095	Northland
7000119	Northland
7000113	Northland
7000081	Northland
7000082	Northland
7000094	Northland
7000112	Northland
7000118	Northland
7000121	Northland
7000078	Northland
7000148	Northland
7000145	Northland
7000146	Northland
7000147	Northland
7000077	Northland
7000149	Northland
7000152	Northland
7000150	Northland
7000151	Northland
7000012	Northland
7000085	Northland
7000089	Northland
7000100	Northland
7000096	Northland
7000101	Northland
7000104	Northland
7000102	Northland
7000103	Northland
7000114	Northland
7000109	Northland
7000110	Northland
7000108	Northland
7000115	Northland
7000116	Northland
7000090	Northland
7000093	Northland
7000105	Northland
7000106	Northland
7000107	Northland
7999902	Area outside District Health Board
7999903	Area outside District Health Board
7000015	Northland
7022480	Area outside District Health Board
7022481	Area outside District Health Board
7000064	Northland
7000065	Northland
7000068	Northland
7000066	Northland
7000067	Northland
7000063	Northland
7000129	Northland
7000131	Northland
7000134	Northland
7000133	Northland
7000130	Northland
7000071	Northland
7000072	Northland
7000073	Northland
7000070	Northland
7000075	Northland
7000076	Northland
7000017	Northland
7000157	Northland
7000159	Northland
7000156	Northland
7000160	Northland
7000158	Northland
7000330	Northland
7000328	Northland
7000329	Northland
7000331	Northland
7000332	Northland
7000388	Northland
7000324	Northland
7000325	Northland
7000326	Northland
7000327	Northland
7000323	Northland
7000321	Northland
7000322	Northland
7000384	Northland
7000382	Northland
7000383	Northland
7000385	Northland
7000386	Northland
7000387	Northland
7000193	Northland
7000187	Northland
7000190	Northland
7000013	Northland
7000185	Northland
7000186	Northland
7000191	Northland
7000192	Northland
7000189	Northland
7000188	Northland
7000195	Northland
7000194	Northland
7000161	Northland
7000200	Northland
7000199	Northland
7000201	Northland
7000198	Northland
7000196	Northland
7000197	Northland
7000211	Northland
7000205	Northland
7000202	Northland
7000203	Northland
7000218	Northland
7000213	Northland
7000208	Northland
7000257	Northland
7000219	Northland
7000214	Northland
7000206	Northland
7000204	Northland
7000209	Northland
7000210	Northland
7000296	Northland
7000263	Northland
7000304	Northland
7000308	Northland
7000307	Northland
7000305	Northland
7000301	Northland
7000303	Northland
7000300	Northland
7000297	Northland
7000299	Northland
7000298	Northland
7000334	Northland
7000294	Northland
7000292	Northland
7000295	Northland
7000293	Northland
7000333	Northland
7000359	Northland
7000358	Northland
7000302	Northland
7000306	Northland
7000337	Northland
7000338	Northland
7000340	Northland
7000341	Northland
7000355	Northland
7000342	Northland
7000335	Northland
7000343	Northland
7000344	Northland
7000345	Northland
