SA12018_code	NZDep2018	NZDep2018_Score	URPopnSA1_2018	SA22018_code	SA22018_name
7000000	10	1245	141	100100	North Cape
7000001	10	1245	114	100100	North Cape
7000002			0	100300	Inlets Far North District
7000003	10	1207	225	100100	North Cape
7000004	9	1093	138	100100	North Cape
7000005	10	1253	174	100100	North Cape
7000006	9	1093	105	100100	North Cape
7000007	9	1072	240	100100	North Cape
7000008	8	1044	228	100100	North Cape
7000009	8	1029	120	100100	North Cape
7000010			0	100300	Inlets Far North District
7000011	9	1073	120	100100	North Cape
7000012			0	100300	Inlets Far North District
7000013			0	100300	Inlets Far North District
7000014			0	100300	Inlets Far North District
7000015			0	100300	Inlets Far North District
7000016			0	100300	Inlets Far North District
7000017	8	1031	0	100300	Inlets Far North District
7000018	8	1031	42	100300	Inlets Far North District
7000019	8	1065	243	100200	Rangaunu Harbour
7000020	9	1073	156	100200	Rangaunu Harbour
7000021	6	995	204	100200	Rangaunu Harbour
7000022	9	1113	186	100200	Rangaunu Harbour
7000023	9	1118	153	100200	Rangaunu Harbour
7000024	9	1126	186	100200	Rangaunu Harbour
7000025	10	1198	108	100200	Rangaunu Harbour
7000026	10	1198	90	100200	Rangaunu Harbour
7000027	10	1145	204	100200	Rangaunu Harbour
7000028	9	1111	162	100200	Rangaunu Harbour
7000029	9	1122	177	100200	Rangaunu Harbour
7000030	8	1039	207	100200	Rangaunu Harbour
7000031	10	1163	237	100200	Rangaunu Harbour
7000032	9	1076	198	100400	Karikari Peninsula
7000033	8	1040	138	100400	Karikari Peninsula
7000034	8	1040	126	100400	Karikari Peninsula
7000035	7	1013	237	100400	Karikari Peninsula
7000036	8	1030	183	100400	Karikari Peninsula
7000037	9	1079	87	100400	Karikari Peninsula
7000038	10	1183	141	100400	Karikari Peninsula
7000039	9	1079	138	100400	Karikari Peninsula
7000040	8	1052	171	101400	Taemaro-Oruaiti
7000041	8	1050	132	101400	Taemaro-Oruaiti
7000042	9	1103	240	101400	Taemaro-Oruaiti
7000043	9	1108	321	101400	Taemaro-Oruaiti
7000044	9	1111	312	101000	Oruru-Parapara
7000045	8	1029	159	101100	Taumarumaru
7000046	9	1078	171	101000	Oruru-Parapara
7000047	6	983	138	101100	Taumarumaru
7000048	6	983	90	101100	Taumarumaru
7000049	9	1122	255	101000	Oruru-Parapara
7000050	9	1090	171	101100	Taumarumaru
7000051	7	1023	174	101100	Taumarumaru
7000052	6	993	147	101100	Taumarumaru
7000053	9	1078	108	101000	Oruru-Parapara
7000054	10	1162	246	101100	Taumarumaru
7000055	7	1025	171	101100	Taumarumaru
7000056	8	1039	108	101100	Taumarumaru
7000057	8	1039	108	101100	Taumarumaru
7000058	10	1142	108	101100	Taumarumaru
7000059	9	1074	204	101100	Taumarumaru
7000060	10	1142	165	101100	Taumarumaru
7000061	6	997	114	101100	Taumarumaru
7000062	6	997	90	101100	Taumarumaru
7000063	10	1183	141	101500	Whakapaku
7000064			0	101500	Whakapaku
7000065	8	1035	189	101500	Whakapaku
7000066	9	1114	108	101500	Whakapaku
7000067	9	1114	129	101500	Whakapaku
7000068	7	1009	180	101500	Whakapaku
7000069	7	1003	144	101800	Whakarara
7000070	9	1090	192	101800	Whakarara
7000071	10	1208	192	101800	Whakarara
7000072	10	1146	132	101800	Whakarara
7000073	10	1146	141	101800	Whakarara
7000074	8	1045	117	101800	Whakarara
7000075	10	1175	225	101800	Whakarara
7000076	10	1199	201	101800	Whakarara
7000077	10	1175	216	100500	Tangonge
7000078	7	1000	180	100500	Tangonge
7000079	9	1093	159	100500	Tangonge
7000080	8	1052	126	100500	Tangonge
7000081	9	1119	165	100500	Tangonge
7000082	6	995	180	100500	Tangonge
7000083	9	1119	108	100500	Tangonge
7000084	10	1236	174	100700	Kaitaia East
7000085	10	1249	216	100800	Kaitaia West
7000086	10	1252	159	100800	Kaitaia West
7000087	10	1252	108	100800	Kaitaia West
7000088	10	1307	273	100800	Kaitaia West
7000089	10	1369	219	100800	Kaitaia West
7000090	10	1371	210	100800	Kaitaia West
7000091	10	1411	168	100800	Kaitaia West
7000092	10	1313	147	100800	Kaitaia West
7000093	10	1333	132	100800	Kaitaia West
7000094	10	1282	171	100800	Kaitaia West
7000095	10	1292	204	100700	Kaitaia East
7000096	10	1379	207	100700	Kaitaia East
7000097	9	1120	171	100700	Kaitaia East
7000098	10	1427	162	100700	Kaitaia East
7000099	10	1257	111	100700	Kaitaia East
7000100	10	1270	204	100700	Kaitaia East
7000101	10	1222	159	100700	Kaitaia East
7000102	10	1257	111	100700	Kaitaia East
7000103	10	1190	120	100700	Kaitaia East
7000104	10	1247	267	100700	Kaitaia East
7000105	10	1287	171	100800	Kaitaia West
7000106	10	1201	222	100800	Kaitaia West
7000107	10	1378	213	100800	Kaitaia West
7000108	9	1121	96	100800	Kaitaia West
7000109	9	1121	177	100800	Kaitaia West
7000110	8	1051	162	100800	Kaitaia West
7000111	9	1074	129	100800	Kaitaia West
7000112	9	1104	189	100800	Kaitaia West
7000113	9	1075	129	100700	Kaitaia East
7000114	9	1116	207	100700	Kaitaia East
7000115	9	1088	165	100700	Kaitaia East
7000116	8	1036	306	100800	Kaitaia West
7000117	9	1085	129	100900	Rangitihi
7000118	6	994	141	100900	Rangitihi
7000119	9	1076	156	100900	Rangitihi
7000120	8	1064	168	100900	Rangitihi
7000121	7	1017	165	100900	Rangitihi
7000122	10	1152	177	101300	Peria
7000123	9	1101	174	100900	Rangitihi
7000124	10	1139	126	101300	Peria
7000125	10	1165	183	101300	Peria
7000126	10	1182	234	101300	Peria
7000127	10	1146	204	101300	Peria
7000128	10	1174	186	101300	Peria
7000129	10	1158	156	101900	Kaeo
7000130	10	1158	102	101900	Kaeo
7000131	10	1145	198	101900	Kaeo
7000132	10	1244	228	101900	Kaeo
7000133	8	1036	237	101900	Kaeo
7000134	9	1119	270	101900	Kaeo
7000135	7	1004	138	102400	Rangitane-Purerua
7000136	10	1258	183	102400	Rangitane-Purerua
7000137	9	1102	186	102400	Rangitane-Purerua
7000138	2	904	180	102400	Rangitane-Purerua
7000139	7	1015	255	102400	Rangitane-Purerua
7000140	4	938	174	102400	Rangitane-Purerua
7000141	1	887	189	102400	Rangitane-Purerua
7000142	8	1057	201	102400	Rangitane-Purerua
7000143	8	1049	210	100600	Ahipara
7000144	7	1001	243	100600	Ahipara
7000145	9	1089	192	100600	Ahipara
7000146	9	1126	153	100600	Ahipara
7000147	10	1164	165	100600	Ahipara
